行政區,公廁編號,公廁類別,公廁名稱,公廁位置,公廁等級,公廁地址,經度,緯度,管理單位,尿布臺設置數量,兒童座椅設置數量,親子友善評鑑獲獎
士林區,A147,交通,捷運劍潭站(淡水信義線),北側親子,特優級(分),臺北市士林區中山北路五段65號,121.525078,25.084873,捷運劍潭站(夜),1,1,
士林區,A148,交通,捷運士林站(淡水信義線),北側親子,特優級(分),臺北市士林區福德路1號,121.52623,25.093535,捷運士林站,1,1,
士林區,A149,交通,捷運芝山站(淡水信義線),南親子,特優級(分),臺北市士林區福國路70號,121.522514,25.10306,捷運芝山站,1,1,
士林區,百526,綜合零售賣場,新光三越台北天母店,A館6樓親子,特優級(分),臺北市士林區天母東路68號,121.533924,25.11795,新光三越百貨股份有限公司臺北天母店,1,1,
士林區,百507,綜合零售賣場,大葉高島屋百貨,蘭雅國中旁B1親子,特優級(分),臺北市士林區忠誠路二段55號,121.531342,25.111735,大葉高島屋百貨股份有限公司,0,1,
士林區,百507,綜合零售賣場,大葉高島屋百貨,蘭雅國中旁1樓親子,特優級(分),臺北市士林區忠誠路二段55號,121.531342,25.111735,大葉高島屋百貨股份有限公司,1,0,
士林區,百526,綜合零售賣場,新光三越台北天母店,A館B1親子,特優級(分),臺北市士林區天母東路68號,121.533924,25.11795,新光三越百貨股份有限公司臺北天母店,1,0,
士林區,機106,機關,士林地政事務所,士商5F親子,特優級(分),臺北市士林區中正路439號5樓,121.51967,25.092808,臺北市士林地政事務所,1,1,
士林區,機06,機關,士林區公所,9F右親子性別友善,特優級(分),臺北市士林區中正路439號,121.51967,25.092808,臺北市士林區公所,1,1,
士林區,B008,文化育樂場所,國立臺灣科學教育館,1F西親子,特優級(分),臺北市士林區士商路189號,121.51601,25.095988,國立臺灣科學教育館,0,0,
士林區,B008,文化育樂場所,國立臺灣科學教育館,3F西親子,特優級(分),臺北市士林區士商路189號,121.51601,25.095988,國立臺灣科學教育館,0,0,
士林區,B008,文化育樂場所,國立臺灣科學教育館,5F西親子,特優級(分),臺北市士林區士商路189號,121.51601,25.095988,國立臺灣科學教育館,0,0,
士林區,B008,文化育樂場所,國立臺灣科學教育館,6F西親子,特優級(分),臺北市士林區士商路189號,121.51601,25.095988,國立臺灣科學教育館,0,0,
士林區,B008,文化育樂場所,國立臺灣科學教育館,7F西親子,特優級(分),臺北市士林區士商路189號,121.51601,25.095988,國立臺灣科學教育館,0,0,
士林區,B008,文化育樂場所,國立臺灣科學教育館,8F西親子,特優級(分),臺北市士林區士商路189號,121.51601,25.095988,國立臺灣科學教育館,0,0,
士林區,B570,文化育樂場所,天母運動場,親子,優等級(分),臺北市士林區忠誠路二段77號(天母運動園區服務中心),121.534287,25.114385,臺北市輪椅網球推廣協會,0,0,
